extension(um),extension/L,force(pN),Lpeff(nm)
0.02175,0.0054952,0.000678511,50
0.0218,0.00550783,0.000680072,50
0.02185,0.00552046,0.000681634,50
0.0219,0.0055331,0.000683195,50
0.02195,0.00554573,0.000684756,50
0.022,0.00555836,0.000686317,50
0.02205,0.005571,0.000687878,50
0.0221,0.00558363,0.000689439,50
0.02215,0.00559626,0.000691,50
0.0222,0.00560889,0.000692561,50
0.02225,0.00562153,0.000694122,50
0.0223,0.00563416,0.000695683,50
0.02235,0.00564679,0.000697244,50
0.0224,0.00565942,0.000698805,50
0.02245,0.00567206,0.000700366,50
0.0225,0.00568469,0.000701928,50
0.02255,0.00569732,0.000703489,50
0.0226,0.00570995,0.00070505,50
0.02265,0.00572259,0.000706611,50
0.0227,0.00573522,0.000708172,50
0.02275,0.00574785,0.000709733,50
0.0228,0.00576049,0.000711294,50
0.02285,0.00577312,0.000712855,50
0.0229,0.00578575,0.000714417,50
0.02295,0.00579838,0.000715978,50
0.023,0.00581102,0.000717539,50
0.02305,0.00582365,0.0007191,50
0.0231,0.00583628,0.000720661,50
0.02315,0.00584891,0.000722222,50
0.0232,0.00586155,0.000723784,50
0.02325,0.00587418,0.000725345,50
0.0233,0.00588681,0.000726906,50
0.02335,0.00589944,0.000728467,50
0.0234,0.00591208,0.000730028,50
0.02345,0.00592471,0.00073159,50
0.0235,0.00593734,0.000733151,50
0.02355,0.00594997,0.000734712,50
0.0236,0.00596261,0.000736273,50
0.02365,0.00597524,0.000737835,50
0.0237,0.00598787,0.000739396,50
0.02375,0.00600051,0.000740957,50
0.0238,0.00601314,0.000742518,50
0.02385,0.00602577,0.00074408,50
0.0239,0.0060384,0.000745641,50
0.02395,0.00605104,0.000747202,50
0.024,0.00606367,0.000748763,50
0.02405,0.0060763,0.000750325,50
0.0241,0.00608893,0.000751886,50
0.02415,0.00610157,0.000753447,50
0.0242,0.0061142,0.000755008,50
0.02425,0.00612683,0.00075657,50
0.0243,0.00613946,0.000758131,50
0.02435,0.0061521,0.000759692,50
0.0244,0.00616473,0.000761254,50
0.02445,0.00617736,0.000762815,50
0.0245,0.00618999,0.000764376,50
0.02455,0.00620263,0.000765938,50
0.0246,0.00621526,0.000767499,50
0.02465,0.00622789,0.00076906,50
0.0247,0.00624053,0.000770622,50
0.02475,0.00625316,0.000772183,50
0.0248,0.00626579,0.000773744,50
0.02485,0.00627842,0.000775306,50
0.0249,0.00629106,0.000776867,50
0.02495,0.00630369,0.000778428,50
0.025,0.00631632,0.00077999,50
0.02505,0.00632895,0.000781551,50
0.0251,0.00634159,0.000783113,50
0.02515,0.00635422,0.000784674,50
0.0252,0.00636685,0.000786235,50
0.02525,0.00637948,0.000787797,50
0.0253,0.00639212,0.000789358,50
0.02535,0.00640475,0.00079092,50
0.0254,0.00641738,0.000792481,50
0.02545,0.00643002,0.000794043,50
0.0255,0.00644265,0.000795604,50
0.02555,0.00645528,0.000797165,50
0.0256,0.00646791,0.000798727,50
0.02565,0.00648055,0.000800288,50
0.0257,0.00649318,0.00080185,50
0.02575,0.00650581,0.000803411,50
0.0258,0.00651844,0.000804973,50
0.02585,0.00653108,0.000806534,50
0.0259,0.00654371,0.000808096,50
0.02595,0.00655634,0.000809657,50
0.026,0.00656897,0.000811219,50
0.02605,0.00658161,0.00081278,50
0.0261,0.00659424,0.000814342,50
0.02615,0.00660687,0.000815903,50
0.0262,0.0066195,0.000817465,50
0.02625,0.00663214,0.000819026,50
0.0263,0.00664477,0.000820588,50
0.02635,0.0066574,0.000822149,50
0.0264,0.00667004,0.000823711,50
0.02645,0.00668267,0.000825272,50
0.0265,0.0066953,0.000826834,50
0.02655,0.00670793,0.000828395,50
0.0266,0.00672057,0.000829957,50
0.02665,0.0067332,0.000831518,50
0.0267,0.00674583,0.00083308,50
0.02675,0.00675846,0.000834642,50
0.0268,0.0067711,0.000836203,50
0.02685,0.00678373,0.000837765,50
0.0269,0.00679636,0.000839326,50
0.02695,0.00680899,0.000840888,50
0.027,0.00682163,0.000842449,50
0.02705,0.00683426,0.000844011,50
0.0271,0.00684689,0.000845573,50
0.02715,0.00685953,0.000847134,50
0.0272,0.00687216,0.000848696,50
0.02725,0.00688479,0.000850257,50
0.0273,0.00689742,0.000851819,50
0.02735,0.00691006,0.000853381,50
0.0274,0.00692269,0.000854942,50
0.02745,0.00693532,0.000856504,50
0.0275,0.00694795,0.000858066,50
0.02755,0.00696059,0.000859627,50
0.0276,0.00697322,0.000861189,50
0.02765,0.00698585,0.000862751,50
0.0277,0.00699848,0.000864312,50
0.02775,0.00701112,0.000865874,50
0.0278,0.00702375,0.000867436,50
0.02785,0.00703638,0.000868997,50
0.0279,0.00704901,0.000870559,50
0.02795,0.00706165,0.000872121,50
0.028,0.00707428,0.000873682,50
0.02805,0.00708691,0.000875244,50
0.0281,0.00709955,0.000876806,50
0.02815,0.00711218,0.000878368,50
